name,artists,album,release_date,popularity,duration_ms,url,release_year,artist_count,track_age,danceability,energy,valence,tempo,loudness
Neva Play (feat. RM of BTS),"['Megan Thee Stallion', 'RM']",MEGAN: ACT II,25-10-2024,0,157585,https://open.spotify.com/track/053FO1MEw60rMDOsIY6BBc,2024,2,0,0,0,0,0,0
Go Go,['BTS'],Love Yourself 承 'Her',18-09-2017,63,235779,https://open.spotify.com/track/5vOT8VO87TAnUjh0oADwb1,2017,1,7,0.856,0.617,0.759,136.081,-5.308
Boy in Luv,['BTS'],Skool Luv Affair,12-02-2014,64,230778,https://open.spotify.com/track/3FnDv33WrrMtuEr7hNR3ev,2014,1,10,0.491,0.947,0.474,166.236,-2.252
Euphoria,['BTS'],Love Yourself 結 'Answer',24-08-2018,71,228615,https://open.spotify.com/track/5YMXGBD6vcYP7IolemyLtK,2018,1,6,0.637,0.799,0.57,104.996,-4.518
Save Me,['BTS'],The Most Beautiful Moment in Life: Young Forever,02-05-2016,66,196505,https://open.spotify.com/track/7bxGcILuAjkZzaveU28ZJS,2016,1,8,0.613,0.822,0.54,139.936,-3.48
BTS Cypher PT.3 : KILLER (Feat. Supreme Boi),"['BTS', 'Supreme Boi']",Proof,10-06-2022,51,268604,https://open.spotify.com/track/1XkVZKfViRyaQcBWUEVwrd,2022,2,2,0.798,0.919,0.655,140.053,-3.28
Pied Piper,['BTS'],Love Yourself 承 'Her',18-09-2017,68,245620,https://open.spotify.com/track/1ZPeaPDjQOOC8hw1mNjyjF,2017,1,7,0.583,0.712,0.778,94.051,-4.942
Dope,['BTS'],The Most Beautiful Moment in Life Pt.1,29-04-2015,64,240020,https://open.spotify.com/track/7jPCPDYoiaKeK7cgNGpIzq,2015,1,9,0.595,0.89,0.62,154.071,-3.109
Run,['BTS'],The Most Beautiful Moment in Life Pt.2,30-11-2015,65,236748,https://open.spotify.com/track/3G1aAxWS2Nd17FQs4PWV6X,2015,1,9,0.554,0.878,0.55,132.896,-3.02
Neva Play (feat. RM of BTS),"['Megan Thee Stallion', 'RM']",Neva Play (feat. RM of BTS),05-09-2024,75,157173,https://open.spotify.com/track/6R1W8ErC7ySlwfajai9eM7,2024,2,0,0.825,0.766,0.767,160.062,-4.988
Butterfly,['BTS'],The Most Beautiful Moment in Life Pt.2,30-11-2015,66,238861,https://open.spotify.com/track/3bjg5cbmuwDoS7e2dAWyRG,2015,1,9,0.461,0.776,0.291,149.985,-4.498
BTS Cypher Pt.1,['BTS'],"O!RUL8,2?",11-09-2013,51,131192,https://open.spotify.com/track/3KkbZok84es6JqI5aiLj1g,2013,1,11,0.751,0.903,0.858,96.548,-5.413
Black Swan,['BTS'],MAP OF THE SOUL : 7,21-02-2020,68,198260,https://open.spotify.com/track/2EmcTFQ1rM11wp2ztsXTHa,2020,1,4,0.719,0.757,0.489,147.024,-5.167
Just One Day,['BTS'],Skool Luv Affair,12-02-2014,66,239469,https://open.spotify.com/track/6t7WriKgVszATnrdBKSUAf,2014,1,10,0.685,0.713,0.301,95.092,-4.705
dimple,['BTS'],Love Yourself 承 'Her',18-09-2017,66,196776,https://open.spotify.com/track/6pp6xf9zS55GD4nr318XUH,2017,1,7,0.612,0.844,0.652,134.872,-4.694
Silver Spoon,['BTS'],The Most Beautiful Moment in Life Pt.2,30-11-2015,64,233160,https://open.spotify.com/track/6O734u9qnz6B4gWMyszWhi,2015,1,9,0.65,0.879,0.536,166.895,-2.886
Airplane pt.2,['BTS'],Love Yourself 轉 'Tear',18-05-2018,65,218614,https://open.spotify.com/track/4lAE47gj539h8R1yxPhhGG,2018,1,6,0.77,0.817,0.866,139.979,-4.092
House of Cards (Full Length Edition),['BTS'],The Most Beautiful Moment in Life: Young Forever,02-05-2016,63,226212,https://open.spotify.com/track/6S2gYweMmT6xygVh5q3QLa,2016,1,8,0.367,0.668,0.384,104.961,-4.484
Black Swan,['BTS'],Black Swan,17-01-2020,58,198260,https://open.spotify.com/track/6wH3AP7b01vpzKYRJhreMy,2020,1,4,0.719,0.757,0.489,147.024,-5.167
Bad Decisions (with BTS & Snoop Dogg),"['benny blanco', 'BTS', 'Snoop Dogg']",Bad Decisions (with BTS & Snoop Dogg),05-08-2022,65,172714,https://open.spotify.com/track/0xzI1KAr0Yd9tv8jlIk3sn,2022,3,2,0.762,0.861,0.955,120.048,-3.296
